name,chem_formula,SMILES,BE(eV),metal_ion
1-Ethoxy-2-methoxyethane (EME),C5H12O2,CCOCCOC,2.64,Zn
1-(2-Fluoroethoxy)-2-methoxyethane,C5H11FO2,COCCOCCF,2.79,Zn
"1-(2,2-Difluoroethoxy)-2-methoxyethane",C5H10F2O2,COCCOCC(F)F,2.91,Zn
"1-(2,2,2-Trifluoroethoxy)-2-methoxyethane",C5H9F3O2,COCCOCC(F)(F)F,3.04,Zn
"1,2-Diethoxyethane (DEE)",C6H14O2,CCOCCOCC,2.59,Zn
"1-(2,2-Difluoroethoxy)-2-ethoxyethane",C6H12F2O2,CCOCCOCC(F)F,2.9,Zn
"1-(2,2,2-Trifluoroethoxy)-2-ethoxyethane",C6H11F3O2,CCOCCOCC(F)(F)F,3.01,Zn
"4-Methyl-1,3-dioxolane",C4H8O2,CC1COCO1,3.01,Zn
"2-Methyl-1,3-dioxolane",C4H8O2,CC1OCCO1,3.07,Zn
Diglyme (G2),C6H14O3,COCCOCCOC,2.64,Zn
Methyl 3-cyanopropanoate,C5H7NO2,COC(=O)CCC#N,4.11,Zn
Methyl 2-cyano-2-methylpropanoate,C6H9NO2,COC(=O)C(C)(C)C#N,4.08,Zn
Ethyl 2-cyano-2-methylpropanoate,C7H11NO2,CCOC(=O)C(C)(C)C#N,3.92,Zn
Diethyl Ether,C4H10O,CCOCC,3.09,Zn
Diisopropyl ether,C6H14O,CC(C)OC(C)C,2.84,Zn
Cyclopentyl methyl ether,C6H12O,COC1CCCC1,2.79,Zn
Tetrahydropyran,C5H10O,C1CCOCC1,2.82,Zn
Triglyme,C8H18O4,COCCOCCOCCOC,2.93,Zn
Methyl 2-(fluorosulfonyl)acetate,C3H5FO4S,COC(=O)CS(=O)(=O)F,4.68,Zn
Nitroethane (NE),C2H5NO2,CC[N+](=O)[O-],4.12,Zn
Propyl acetate,C5H10O2,CCCOC(C)=O,3.87,Zn
Isopropyl acetate,C5H10O2,CC(=O)OC(C)C,3.78,Zn
Butyl acetate,C6H12O2,CCCCOC(C)=O,3.78,Zn
Isobutyl acetate,C6H12O2,CC(=O)OCC(C)C,3.82,Zn
Methyl propionate,C4H8O2,CCC(=O)OC,3.89,Zn
Methyl formate,C2H4O2,COC=O,4.37,Zn
Ethyl formate,C3H6O2,CCOC=O,4.23,Zn
Propyl formate,C4H8O2,CCCOC=O,4.16,Zn
Isopropyl formate,C4H8O2,CC(C)OC=O,4.06,Zn
Butyl formate,C5H10O2,CCCCOC=O,4,Zn
Isobutyl formate,C5H10O2,CC(C)COC=O,4.05,Zn
Methyl 3-fluoropropanoate,C4H7FO2,COC(=O)CCF,4.01,Zn
Fluoromethyl propanoate,C4H7FO2,CCC(=O)OCF,4.12,Zn
"Methyl 3,3-difluoropropanoate",C4H6F2O2,COC(=O)CC(F)F,4.27,Zn
"Methyl 3,3,3-trifluoropropionate",C4H5F3O2,COC(=O)CC(F)(F)F,4.47,Zn
"Ethyl 3,3,3-trifluoropropanoate",C5H7F3O2,CCOC(=O)CC(F)(F)F,4.32,Zn
Flurothyl,C4H4F6O,FC(F)(F)COCC(F)(F)F,4.52,Zn
"Pentafluoroethyl 2,2,2-trifluoroethyl ether",C4H2F8O,FC(F)(F)COC(F)(F)C(F)(F)F,5.52,Zn
"1,1,2,2-Tetrafluoro-3-(1,1,2,2-tetrafluoroethoxy)propane",C5H4F8O,FC(F)C(F)(F)COC(F)(F)C(F)F,5.03,Zn
"Ethyl 1,1,2,2-tetrafluoroethyl ether",C4H6F4O,CCOC(F)(F)C(F)F,4.64,Zn
"1,1,2,2-Tetrafluoroethyl 2,2,2-trifluoroethyl ether",C4H3F7O,FC(F)C(F)(F)OCC(F)(F)F,5.06,Zn
Methoxy(methoxymethoxy)methane,C4H10O3,COCOCOC,3.05,Zn
Aminomethylal,C3H9NO2,COCOCN,2.26,Zn
Fluoro(dimethoxy)methane,C3H7FO2,COC(F)OC,3.79,Zn
Fluoromethoxy(methoxy)methane,C3H7FO2,COCOCF,3.46,Zn
Difluoro(dimethoxy)methane,C3H6F2O2,COC(F)(F)OC,4.3,Zn
Difluoro(methoxymethoxy)methane,C3H6F2O2,COCOC(F)F,3.57,Zn
Trifluoro(methoxymethoxy)methane,C3H5F3O2,COCOC(F)(F)F,3.77,Zn
"1-(2,2,2-Trifluoroethoxy)-2-methoxyethane",C5H9F3O2,COCCOCC(F)(F)F,3.04,Zn
