name,chem_formula,SMILES,BE(eV),metal_ion
"N,N-Dimethylbutyramide",C6H13NO,CCCC(=O)N(C)C,7.44,Mg
2-Methoxyacetamide,C3H7NO2,COCC(N)=O,6.399,Mg
"2,2,2-Trifluoro-N,N-dimethylacetamide",C4H6F3NO,CN(C)C(=O)C(F)(F)F,6.932,Mg
Acetonitrile (AN),C2H3N,CC#N,4.845,Mg
Propionitrile,C3H5N,CCC#N,5.027,Mg
Butyronitrile,C4H7N,CCCC#N,5.137,Mg
Valeronitrile,C5H9N,CCCCC#N,5.197,Mg
Phenylacetonitrile,C8H7N,N#CCc1ccccc1,5.339,Mg
2-Methoxypropanenitrile,C4H7NO,COC(C)C#N,4.594,Mg
3-Oxopropanenitrile,C3H3NO,N#CCC=O,6.023,Mg
3-Oxobutanenitrile,C4H5NO,CC(=O)CC#N,6.626,Mg
Ethyl cyanoacetate (ECA),C5H7NO2,CCOC(=O)CC#N,7.179,Mg
Fluoroacetonitrile,C2H2FN,N#CCF,4.315,Mg
Aminoacetonitrile,C2H4N2,N#CCN,5.788,Mg
Malononitrile,C3H2N2,N#CCC#N,5.211,Mg
Methoxyacetonitrile,C3H5NO,COCC#N,4.939,Mg
3-Methoxypropionitrile,C4H7NO,COCCC#N,5.468,Mg
Glutaronitrile (GN),C5H6N2,N#CCCCC#N,7.472,Mg
Adiponitrile (ADN),C6H8N2,N#CCCCCC#N,8.023,Mg
Heptanedinitrile,C7H10N2,N#CCCCCCC#N,5.536,Mg
Octanedinitrile,C8H12N2,N#CCCCCCCC#N,5.006,Mg
Azelanitrile,C9H14N2,N#CCCCCCCCC#N,4.706,Mg
Sebaconitrile,C10H16N2,N#CCCCCCCCCC#N,5.115,Mg
Glycolonitrile,C2H3NO,N#CCO,4.857,Mg
Chloroacetonitrile,C2H2ClN,N#CCCl,4.563,Mg
"3,3,3-Trifluoropropionitrile",C3H2F3N,N#CCC(F)(F)F,4.487,Mg
Cyanoacetic acid,C3H3NO2,N#CCC(=O)O,6.685,Mg
2-Methylglutaronitrile,C6H8N2,CC(C#N)CCC#N,4.818,Mg
Trimethylacetonitrile,C5H9N,CC(C)(C)C#N,5.317,Mg
"2,2-Dimethylbutanenitrile",C6H11N,CCC(C)(C)C#N,5.393,Mg
"1,2-Dimethoxyethane (DME)",C4H10O2,COCCOC,7.753,Mg
tetrahydrofurane (THF),C4H8O,C1CCOC1,5.194,Mg
2-Methyltetrahydrofuran,C5H10O,CC1CCCO1,5.803,Mg
Anisole,C7H8O,COc1ccccc1,5.992,Mg
"1,3-Dioxolane",C3H6O2,C1COCO1,5.018,Mg
Ethyl Acetate (EA),C4H8O2,CCOC(C)=O,5.773,Mg
Ethyl fluoroacetate (EFA),C4H7FO2,CCOC(=O)CF,5.778,Mg
Ethyl difluoroacetate,C4H6F2O2,CCOC(=O)C(F)F,6.382,Mg
Methyl acetate (MA),C3H6O2,COC(C)=O,5.601,Mg
Methyl methoxyacetate,C4H8O3,COCC(=O)OC,7.793,Mg
Methyl cyanoacetate,C4H5NO2,COC(=O)CC#N,6.959,Mg
1-Methoxy-2-propyl acetate,C6H12O3,COCC(C)OC(C)=O,8.614,Mg
2-Fluoroethyl acetate,C4H7FO2,CC(=O)OCCF,7.424,Mg
Ethyl 2-Fluoropropionate,C5H9FO2,CCOC(=O)C(C)F,7.132,Mg
Methyl butyrate (MB),C5H10O2,CCCC(=O)OC,6.386,Mg
Ethyl butyrate (EB),C6H12O2,CCCC(=O)OCC,6.424,Mg
gamma-Butyrolactone (GBL),C4H6O2,O=C1CCCO1,6.082,Mg
3-fluorodihydrofuran-2(3H)-one,C4H5FO2,O=C1OCCC1F,6.379,Mg
Delta-Valerolactone (DVL),C5H8O2,O=C1CCCCO1,6.437,Mg
Dimethoxymethane (DMM),C3H8O2,COCOC,6.924,Mg
1-Ethoxy-2-methoxyethane (EME),C5H12O2,CCOCCOC,8.226,Mg
1-(2-Fluoroethoxy)-2-methoxyethane,C5H11FO2,COCCOCCF,9.357,Mg
"1-(2,2-Difluoroethoxy)-2-methoxyethane",C5H10F2O2,COCCOCC(F)F,9.173,Mg
"1-(2,2,2-Trifluoroethoxy)-2-methoxyethane",C5H9F3O2,COCCOCC(F)(F)F,8.789,Mg
"1,2-Diethoxyethane (DEE)",C6H14O2,CCOCCOCC,8.324,Mg
"1-(2,2-Difluoroethoxy)-2-ethoxyethane",C6H12F2O2,CCOCCOCC(F)F,9.337,Mg
"1-(2,2,2-Trifluoroethoxy)-2-ethoxyethane",C6H11F3O2,CCOCCOCC(F)(F)F,8.974,Mg
"4-Methyl-1,3-dioxolane",C4H8O2,CC1COCO1,5.573,Mg
"2-Methyl-1,3-dioxolane",C4H8O2,CC1OCCO1,5.429,Mg
Diglyme (G2),C6H14O3,COCCOCCOC,10.381,Mg
Methyl 3-cyanopropanoate,C5H7NO2,COC(=O)CCC#N,5.229,Mg
Methyl 2-cyano-2-methylpropanoate,C6H9NO2,COC(=O)C(C)(C)C#N,7.415,Mg
Ethyl 2-cyano-2-methylpropanoate,C7H11NO2,CCOC(=O)C(C)(C)C#N,7.603,Mg
Diethyl Ether,C4H10O,CCOCC,5.656,Mg
Diisopropyl ether,C6H14O,CC(C)OC(C)C,6.148,Mg
Cyclopentyl methyl ether,C6H12O,COC1CCCC1,5.916,Mg
Tetrahydropyran,C5H10O,C1CCOCC1,5.152,Mg
Triglyme,C8H18O4,COCCOCCOCCOC,10.406,Mg
Methyl 2-(fluorosulfonyl)acetate,C3H5FO4S,COC(=O)CS(=O)(=O)F,7.497,Mg
Nitroethane (NE),C2H5NO2,CC[N+](=O)[O-],5.004,Mg
Propyl acetate,C5H10O2,CCCOC(C)=O,5.816,Mg
Isopropyl acetate,C5H10O2,CC(=O)OC(C)C,5.953,Mg
Butyl acetate,C6H12O2,CCCCOC(C)=O,7.085,Mg
Isobutyl acetate,C6H12O2,CC(=O)OCC(C)C,6.714,Mg
Methyl propionate,C4H8O2,CCC(=O)OC,6.231,Mg
Methyl formate,C2H4O2,COC=O,5.636,Mg
Ethyl formate,C3H6O2,CCOC=O,5.9,Mg
Propyl formate,C4H8O2,CCCOC=O,5.44,Mg
Isopropyl formate,C4H8O2,CC(C)OC=O,5.625,Mg
"Methyl 3,3-difluoropropanoate",C4H6F2O2,COC(=O)CC(F)F,7.038,Mg
"Methyl 3,3,3-trifluoropropionate",C4H5F3O2,COC(=O)CC(F)(F)F,6.917,Mg
"Ethyl 3,3,3-trifluoropropanoate",C5H7F3O2,CCOC(=O)CC(F)(F)F,7.116,Mg
Flurothyl,C4H4F6O,FC(F)(F)COCC(F)(F)F,7.005,Mg
"Pentafluoroethyl 2,2,2-trifluoroethyl ether",C4H2F8O,FC(F)(F)COC(F)(F)C(F)(F)F,6.138,Mg
"1,1,2,2-Tetrafluoro-3-(1,1,2,2-tetrafluoroethoxy)propane",C5H4F8O,FC(F)C(F)(F)COC(F)(F)C(F)F,7.133,Mg
"Ethyl 1,1,2,2-tetrafluoroethyl ether",C4H6F4O,CCOC(F)(F)C(F)F,6.016,Mg
"1,1,2,2-Tetrafluoroethyl 2,2,2-trifluoroethyl ether",C4H3F7O,FC(F)C(F)(F)OCC(F)(F)F,6.21,Mg
Methoxy(methoxymethoxy)methane,C4H10O3,COCOCOC,9.02,Mg
Fluoro(dimethoxy)methane,C3H7FO2,COC(F)OC,6.5,Mg
Difluoro(dimethoxy)methane,C3H6F2O2,COC(F)(F)OC,5.967,Mg
Difluoro(methoxymethoxy)methane,C3H6F2O2,COCOC(F)F,6.805,Mg
Trifluoro(methoxymethoxy)methane,C3H5F3O2,COCOC(F)(F)F,4.579,Mg
"1-(2,2,2-Trifluoroethoxy)-2-methoxyethane",C5H9F3O2,COCCOCC(F)(F)F,8.709,Mg
Phenetole,C8H10O,CCOc1ccccc1,6.19,Mg
Propoxybenzene,C9H12O,CCCOc1ccccc1,5.636,Mg
Butyl phenyl ether,C10H14O,CCCCOc1ccccc1,7.412,Mg
Methyl tert-butyl ether,C5H12O,COC(C)(C)C,5.971,Mg
Diphenyl ether,C12H10O,c1ccc(Oc2ccccc2)cc1,7.161,Mg
Dioxane,C4H8O2,C1COCCO1,5.02,Mg
"2-Methyl-1,4-dioxane",C5H10O2,CC1COCCO1,6.694,Mg
"5-Fluoro-1,3-dioxane",C4H7FO2,FC1COCOC1,5.476,Mg
"5,5-Difluoro-1,3-dioxane",C4H6F2O2,FC1(F)COCOC1,5.137,Mg
"4,4-Difluoro-1,3-dioxane",C4H6F2O2,FC1(F)CCOCO1,8.566,Mg
"2-Methoxy-1,3-dioxane",C5H10O3,COC1OCCCO1,9.313,Mg
"5-Methoxy-1,3-dioxane",C5H10O3,COC1COCOC1,5.836,Mg
"N,N-Dimethyl-1,3-dioxan-2-amine",C6H13NO2,CN(C)C1OCCCO1,7.695,Mg
Ethyl propionate,C5H10O2,CCOC(=O)CC,6.002,Mg
Methoxymethyl acetate,C4H8O3,COCOC(C)=O,6.186,Mg
2-Methoxyethyl acetate,C5H10O3,COCCOC(C)=O,8.12,Mg
Isoamyl acetate,C7H14O2,CC(=O)OCCC(C)C,6.008,Mg
Vinyl acetate,C4H6O2,C=COC(C)=O,5.683,Mg
Methyl glycinate,C3H7NO2,COC(=O)CN,7.824,Mg
Methyl isobutyrate,C5H10O2,COC(=O)C(C)C,6.092,Mg
Methyl benzenesulfonate,C7H8O3S,COS(=O)(=O)c1ccccc1,7.499,Mg
Ethylene carbonate (EC),C3H4O3,O=C1OCCO1,6.198,Mg
Propylene carbonate (PC),C4H6O3,CC1COC(=O)O1,6.383,Mg
Diethyl carbonate (DEC),C5H10O3,CCOC(=O)OCC,6.116,Mg
Dimethyl carbonate (EMC),C3H6O3,COC(=O)OC,5.496,Mg
Ethyl methyl carbonate (EMC),C4H8O3,CCOC(=O)OC,5.656,Mg
Vinylene carbonate (VC),C3H2O3,O=c1occo1,5.692,Mg
"2-Oxo-1,3-dioxolane-4-carbonitrile",C4H3NO3,N#CC1COC(=O)O1,5.657,Mg
"4-Hydroxy-1,3-dioxolan-2-one",C3H4O4,O=C1OCC(O)O1,6.627,Mg
"4-Fluoro-1,3-dioxolan-2-one",C3H3FO3,O=C1OCC(F)O1,5.837,Mg
"4-(Trifluoromethyl)-1,3-dioxolan-2-one",C4H3F3O3,O=C1OCC(C(F)(F)F)O1,5.866,Mg
"Methyl 2,2,2-trifluoroethyl carbonate",C4H5F3O3,COC(=O)OCC(F)(F)F,6.974,Mg
Fluoromethyl methyl carbonate,C3H5FO3,COC(=O)OCF,9.087,Mg
Methoxycarbonyloxy-acetic acid,C4H6O5,COC(=O)OCC(=O)O,7.967,Mg
"4-Chloro-1,3-dioxolan-2-one",C3H3ClO3,O=C1OCC(Cl)O1,9.991,Mg
"2-Oxo-1,3-dioxolane-4-carboxylic acid",C4H4O5,O=C1OCC(C(=O)O)O1,7.765,Mg
2-Hydroxyethyl methyl carbonate,C4H8O4,COC(=O)OCCO,7.971,Mg
"2,2-Difluoroethyl ethyl carbonate",C5H8F2O3,CCOC(=O)OCC(F)F,7.136,Mg
2-Fluoroethyl methyl carbonate,C4H7FO3,COC(=O)OCCF,7.119,Mg
"2,2-Difluoroethyl Methyl Carbonate",C4H6F2O3,COC(=O)OCC(F)F,6.848,Mg
"Methyl 2,2,2-trifluoroethyl carbonate",C4H5F3O3,COC(=O)OCC(F)(F)F,7.081,Mg
Methyl propyl carbonate (MPC),C5H10O3,CCCOC(=O)OC,5.701,Mg
3-Fluoropropyl methyl carbonate,C5H9FO3,COC(=O)OCCCF,8.827,Mg
Carbonic acid methyl 2-fluoropropyl ester,C5H9FO3,COC(=O)OC(C)CF,7.837,Mg
"Carbonic acid methyl 3,3,3-trifluoropropyl ester",C5H7F3O3,COC(=O)OCCC(F)(F)F,7.222,Mg
"Methyl 2,2,3,3-tetrafluoropropyl carbonate",C5H6F4O3,COC(=O)OCC(F)(F)C(F)F,7.818,Mg
"Methyl 2,2,3,3,3-pentafluoropropyl carbonate",C5H5F5O3,COC(=O)OCC(F)(F)C(F)(F)F,7.077,Mg
Ethyl propyl carbonate (EPC),C6H12O3,CCCOC(=O)OCC,6.297,Mg
Ethyl propan-2-yl carbonate,C6H12O3,CCOC(=O)OC(C)C,6.221,Mg
Methyl isopropyl carbonate,C5H10O3,COC(=O)OC(C)C,5.936,Mg
"4-(Fluoromethyl)-1,3-dioxolan-2-one (FPC)",C4H5FO3,O=C1OCC(CF)O1,6.167,Mg
"4-Ethyl-1,3-dioxolan-2-one (BC)",C5H8O3,CCC1COC(=O)O1,6.43,Mg
3-(Methylsulfonyl)propyl methyl carbonate,C6H12O5S,COC(=O)OCCCS(C)(=O)=O,8.935,Mg
Ethyl 3-methylsulfonylpropyl carbonate,C7H14O5S,CCOC(=O)OCCCS(C)(=O)=O,10.665,Mg
"Bis(2,2,2-trifluoroethyl) Carbonate",C5H4F6O3,O=C(OCC(F)(F)F)OCC(F)(F)F,7.44,Mg
"1,3-Benzodioxol-2-one",C7H4O3,O=c1oc2ccccc2o1,5.973,Mg
"(S)-4-Ethenyl-1,3-dioxolan-2-one",C5H6O3,C=CC1COC(=O)O1,6.466,Mg
"1,3-Dioxepan-2-one",C5H8O3,O=C1OCCCCO1,7.026,Mg
"4,5-Dimethyl-1,3-dioxolan-2-one",C5H8O3,CC1OC(=O)OC1C,6.549,Mg
Allyl methyl carbonate,C5H8O3,C=CCOC(=O)OC,6.585,Mg
"4,5-Difluoro-1,3-dioxolan-2-one",C3H2F2O3,O=C1OC(F)C(F)O1,5.526,Mg
Carbonic acid bis(trifluoromethyl) ester,C3F6O3,O=C(OC(F)(F)F)OC(F)(F)F,5.427,Mg
Carbonic acid bis(fluoromethyl) ester,C3H4F2O3,O=C(OC(F)F)OC(F)F,6.321,Mg
1-Fluoroethyl methyl carbonate,C4H7FO3,COC(=O)OC(C)F,7.555,Mg
"5-Methyl-2,5-(oxymethylene)-2-bora-1,3-dioxane",C5H9BO3,CC1COC(OCC2COC2C)O1,9.837,Mg
"4-Nitro-1-bora-2,6,7-trioxabicyclo[2.2.2]octane",C4H6BNO5,O=[N+]([O-])C1OC2BON1O2,10.267,Mg
Sulfolane,C4H8O2S,O=S1(=O)CCCC1,7.569,Mg
Ethyl vinyl sulfone (EVS),C4H8O2S,C=CS(=O)(=O)CC,7.553,Mg
Ethyl methyl sulfone (EMS),C3H8O2S,CCS(C)(=O)=O,7.432,Mg
Dimethyl sulfone (DMS),C2H6O2S,CS(C)(=O)=O,7.191,Mg
Diethyl sulfone (DES),C4H10O2S,CCS(=O)(=O)CC,7.666,Mg
Dimethyl Sulfoxide (DMSO),C2H6OS,CS(C)=O,6.737,Mg
Diethyl sulfoxide,C4H10OS,CCS(=O)CC,6.737,Mg
Dipropyl sulfoxide,C6H14OS,CCCS(=O)CCC,7.044,Mg
Dibutyl sulphoxide,C8H18OS,CCCCS(=O)CCCC,7.138,Mg
Ethylene sulfite (ES),C2H4O3S,O=S1OCCO1,6.196,Mg
Propylene sulfite (PS),C3H6O3S,CC1COS(=O)O1,6.409,Mg
1-Fluoro-2-(methylsulfonyl)benzene (FS),C7H7FO2S,CS(=O)(=O)c1ccccc1F,6.781,Mg
2-(Methylsulphonyl)propane,C4H10O2S,CC(C)S(C)(=O)=O,7.644,Mg
Methanesulfonyl fluoride,CH3FO2S,CS(=O)(=O)F,5.189,Mg
"1,1,1-Trifluoro-3-(methanesulfonyl)propane",C4H7F3O2S,CS(=O)(=O)CCC(F)(F)F,7.06,Mg
Ethyl Isopropyl Sulfone,C5H12O2S,CCS(=O)(=O)C(C)C,7.859,Mg
Ethyl isobutyl sulfone,C6H14O2S,CCS(=O)(=O)CC(C)C,7.89,Mg
sec-Butylethyl sulfone,C6H14O2S,CCC(C)S(=O)(=O)CC,7.829,Mg
Dipropyl sulfone,C6H14O2S,CCCS(=O)(=O)CCC,7.896,Mg
3-Methylsulfolane,C5H10O2S,CC1CCS(=O)(=O)C1,7.695,Mg
"2-Methylthietane 1,1-dioxide",C4H8O2S,CC1CCS1(=O)=O,7.473,Mg
Methyl(2-methoxyethyl) sulfone,C4H10O3S,CC(C)OCS(C)(=O)=O,4.905,Mg
3-Methylsulfonylpropyl acetate,C6H12O4S,CC(=O)OCCCS(C)(=O)=O,9.643,Mg
"2-(Methylsulfonyl)ethyl 2,2-difluoroacetate",C5H8F2O4S,CS(=O)(=O)CCOC(=O)C(F)F,9.573,Mg
4-(Methylsulfonyl)butanenitrile,C5H9NO2S,CC(C)C(=O)CN(C)S(C)(=O)=O,9.55,Mg
"Thietane 1,1-dioxide",C3H6O2S,O=S1(=O)CCC1,7.198,Mg
3-Methoxysulfolane,C5H10O3S,COC1CCS(=O)(=O)C1,7.864,Mg
3-Ethoxysulfolane,C6H12O3S,CCOC1CCS(=O)(=O)C1,7.662,Mg
"3-Isopropoxytetrahydrothiophene 1,1-dioxide",C7H14O3S,CC(C)OC1CCS(=O)(=O)C1,8.745,Mg
"3-(2-Methoxyethoxy)thiolane 1,1-dioxide",C7H14O4S,COCCOC1CCS(=O)(=O)C1,10.916,Mg
"1,1-Dioxidotetrahydro-3-thienyl acetate",C6H10O4S,CC(=O)OC1CCS(=O)(=O)C1,8.592,Mg
Methyl Methanesulfonylacetate,C4H8O4S,COC(=O)CS(C)(=O)=O,9.404,Mg
1-Methoxy-2-(2-methoxyethanesulfonyl)ethane,C6H14O4S,COCCS(=O)(=O)CCOC,9.975,Mg
Ethyl methanesulfonylacetate,C5H10O4S,CCOC(=O)CS(C)(=O)=O,9.551,Mg
Acetic acid 2-methanesulfonyl-ethyl ester,C5H10O4S,CC(=O)OCCS(C)(=O)=O,6.12,Mg
"2-(Methylsulfonyl)ethyl 2,2,2-trifluoroacetate",C5H7F3O4S,CS(=O)(=O)CCOC(=O)C(F)(F)F,6.233,Mg
Methyl 2-methylsulfonylethyl carbonate,C5H10O5S,COC(=O)OCCS(C)(=O)=O,5.408,Mg
Carbonic acid ethyl[2-(methylsulfonyl)ethyl] ester,C6H12O5S,CCOC(=O)C(C)CS(C)(=O)=O,10.421,Mg
2-{[(2-methanesulfonylethoxy)carbonyl]oxy}propane,C7H14O5S,CC(C)COC(=O)OCCS(C)(=O)=O,9.78,Mg
Methoxy(methylsulfonyl)methane,C3H8O3S,COCS(C)(=O)=O,6.577,Mg
Methyl propyl sulfone (MPS),C4H10O2S,CCCS(C)(=O)=O,7.575,Mg
sec-Butylisopropyl sulfone,C7H16O2S,CC(C)S(=O)(=O)C(C)C,7.916,Mg
1-Ethanesulfonyl-2-methoxy-ethane,C5H12O3S,CCS(=O)(=O)CCOC,7.497,Mg
"1,1-Dioxo-1λ^6-thiolan-3-yl ethyl carbonate",C7H12O5S,CCOC(=O)O[C@H]1SC(=O)C1=O,7.852,Mg
Butyl butane-1-sulfonate,C8H18O3S,CCCCOS(=O)(=O)CCCC,7.958,Mg
"5-Fluoro-1,2-oxathiolane 2,2-Dioxide",C3H5FO3S,O=S1(=O)CCC(F)O1,6.9,Mg
"1,3-Propane sultone",C3H6O3S,O=S1(=O)CCCO1,7.174,Mg
"Prop-1-ene-1,3-sultone",C3H4O3S,O=S1(=O)C=CCO1,7.145,Mg
Difluoro(methylsulfonyl)methane,C2H4F2O2S,CS(=O)(=O)C(F)F,6.754,Mg
Methyltrifluoromethylsulfone,C2H3F3O2S,CS(=O)(=O)C(F)(F)F,6.354,Mg
Chloromethylsulfonylmethane,C2H5ClO2S,CS(=O)(=O)CCl,7.06,Mg
"Thiophene, 2-fluorotetrahydro-, 1,1-dioxide",C4H7FO2S,O=S1(=O)CCCC1F,7.257,Mg
"Thiophene, 3-fluorotetrahydro-, 1,1-dioxide",C4H7FO2S,O=S1(=O)CCC(F)C1,7.067,Mg
"1,1,1-Trifluoro-2-methylsulfonylethane",C3H5F3O2S,CS(=O)(=O)CC(F)(F)F,7.627,Mg
Trifluoromethanesulphonylethane,C3H5F3O2S,CCS(=O)(=O)C(F)(F)F,6.606,Mg
"1,1,1-Trifluoro-2-methylsulfonylpropane",C4H7F3O2S,CC(C(F)(F)F)S(C)(=O)=O,6.899,Mg
2-(Trifluoromethanesulfonyl)propane,C4H7F3O2S,CC(C)S(=O)(=O)C(F)(F)F,6.841,Mg
Methyl 2-(fluorosulfonyl)acetate,C3H5FO4S,COC(=O)CS(=O)(=O)F,7.52,Mg
3-Cyanopropane-1-sulfonyl fluoride,C4H6FNO2S,N#CCCCS(=O)(=O)F,4.999,Mg
"1,4-Butane sultone",C4H8O3S,O=S1(=O)CCCCO1,7.494,Mg
Trimethyl phosphate (TMP),C3H9O4P,COP(=O)(OC)OC,7.509,Mg
Triethyl phosphate (TEP),C6H15O4P,CCOP(=O)(OCC)OCC,8.164,Mg
Dimethyl methylphosphonate,C3H9O3P,COP(C)(=O)OC,8.633,Mg
Pyridine (py),C5H5N,c1ccncc1,7.647,Mg
1-Methylimidazole,C4H6N2,Cn1ccnc1,5.5,Mg
2-Pyrrolidinone,C4H7NO,O=C1CCCN1,6.293,Mg
Pyrrolidine-2-thione,C4H7NS,S=C1CCCN1,6.575,Mg
Succinimide,C4H5NO2,O=C1CCC(=O)N1,6.166,Mg
1-Methyl-2-pyrrolidinone (NMP),C5H9NO,CN1CCCC1=O,5.853,Mg
Acetone (AC),C3H6O,CC(C)=O,6.781,Mg
"4,5-Dimethyl-1,3-dioxol-2-one",C5H6O3,Cc1oc(=O)oc1C,5.401,Mg
3-Methyl-2-oxazolidone,C4H7NO2,CN1CCOC1=O,6.253,Mg
1-Methyl-2-pyrrolidinone,C5H9NO,CN1CCCC1=O,6.8,Mg
"1,3-Dimethyl-2-imidazolidinone (DMI)",C5H10N2O,CN1CCN(C)C1=O,6.78,Mg
Furan,C4H4O,c1ccoc1,7.009,Mg
"2,5-Dimethylfuran",C6H8O,Cc1ccc(C)o1,3.895,Mg
Tetrahydropyran,C5H10O,C1CCOCC1,4.873,Mg
Ethoxymethoxymethane,C4H10O2,CCOCOC,5.175,Mg
3-Fluorofuran,C4H3FO,Fc1ccoc1,7.253,Mg
2-Fluorofuran,C4H3FO,Fc1ccco1,4.17,Mg
"3,4-Difluorofuran",C4H2F2O,Fc1cocc1F,3.3,Mg
"2,5-Difluorofuran",C4H2F2O,Fc1ccc(F)o1,3.632,Mg
"2,3-Difluorofuran",C4H2F2O,O=C1C=CCC1F,6.713,Mg
"2,4-Difluorofuran",C4H2F2O,Fc1coc(F)c1,3.82,Mg
2-Furonitrile,C5H3NO,N#Cc1ccco1,5.417,Mg
2-Methoxyfuran,C5H6O2,COc1ccco1,5.792,Mg
3-Methoxyfuran,C5H6O2,COc1ccoc1,6.393,Mg
2-Ethylfuran,C6H8O,CCc1ccco1,4.823,Mg
"2,3-Dimethylfuran",C6H8O,Cc1ccoc1C,4.855,Mg
3-Methyltetrahydrofuran,C5H10O,CC1CCOC1,5.322,Mg
2-Methyltetrahydrofuran,C5H10O,CC1CCCO1,5.819,Mg
Methoxyacetone,C4H8O2,COCC(C)=O,7.524,Mg
Chloroacetone,C3H5ClO,CC(=O)CCl,6.229,Mg
Aminoacetone,C3H7NO,CC(=O)CN,7.701,Mg
Fluoroacetone,C3H5FO,CC(=O)CF,6.185,Mg
3-Heptanone,C7H14O,CCCCC(=O)CC,6.215,Mg
Methyl Ethyl Ketone,C4H8O,CCC(C)=O,5.891,Mg
gamma-Valerolactone,C5H8O2,CC1CCC(=O)O1,6.327,Mg
Propylene carbonate,C4H6O3,CC1COC(=O)O1,1.165,Cs
Ethylene carbonate,C3H4O3,O=C1OCCO1,1.135,Cs
Vinylene carbonate,C3H2O3,O=c1occo1,1.025,Cs
Fluoroethylene carbonate,C3H3FO3,O=C1OCC(F)O1,1.001,Cs
Dimethyl carbonate,C3H6O3,COC(=O)OC,0.842,Cs
Diethyl carbonate,C5H10O3,CCOC(=O)OCC,0.877,Cs
Ethyl methyl carbonate,C4H8O3,CCOC(=O)OC,0.878,Cs
Furan,C4H4O,c1ccoc1,0.461,Cs
"2,5-dimethylfuran",C6H8O,Cc1ccc(C)o1,0.56,Cs
Tetrahydrofuran,C4H8O,C1CCOC1,0.851,Cs
2-methyltetrahydrofuran,C5H10O,CC1CCCO1,0.874,Cs
Tetrahydropyran,C5H10O,C1CCOCC1,0.821,Cs
"1,3-dioxolane",C3H6O2,C1COCO1,0.715,Cs
"1,4-dioxane",C4H8O2,C1COCCO1,0.688,Cs
Ethoxymethoxymethane,C5H12O3,CCOCOC,0.682,Cs
Ethyl acetate,C4H8O2,CCOC(C)=O,0.95,Cs
Isopropyl acetate,C5H10O2,CC(=O)OC(C)C,0.958,Cs
Methyl propionate,C4H8O2,CCC(=O)OC,0.896,Cs
Ethyl propionate,C5H10O2,CCOC(=O)CC,0.935,Cs
Methyl formate,C2H4O2,COC=O,0.861,Cs
Ethyl butyrate,C6H12O2,CCCC(=O)OCC,0.902,Cs
Methyl isobutyrate,C5H10O2,COC(=O)C(C)C,0.926,Cs
Vinyl acetate,C4H6O2,C=COC(C)=O,0.857,Cs
Gamma-butyrolactone,C4H6O2,O=C1CCCO1,1.148,Cs
Gamma-valerolactone,C5H8O2,CC1CCC(=O)O1,1.18,Cs
Delta-valerolactone,C5H8O2,O=C1CCCCO1,1.203,Cs
Epsilon-caprolactone,C6H10O2,O=C1CCCCCO1,1.238,Cs
Gamma-hexanolactone,C6H10O2,CCCC1CC(=O)O1,1.188,Cs
Trimethyl phosphate,C3H9O4P,COP(=O)(OC)OC,1.346,Cs
Triethyl phosphate,C6H15O4P,CCOP(=O)(OCC)OCC,1.415,Cs
Sulfolane,C4H8O2S,O=S1(=O)CCCC1,1.2,Cs
Methyl methanesulfonate,C2H6O3S,COS(C)(=O)=O,0.928,Cs
Methyl benzenesulfonate,C7H8O3S,COS(=O)(=O)c1ccccc1,1.055,Cs
"1,3-propanesultone",C3H6O3S,O=S1(=O)CCCO1,1.102,Cs
"1,4-butane sultone",C4H8O3S,O=S1(=O)CCCCO1,1.138,Cs
Dimethyl sulfoxide,C2H6OS,CS(C)=O,1.427,Cs
Succinic anhydride,C4H4O3,O=C1CCC(=O)O1,0.904,Cs
Cyclohexanone,C6H10O,O=C1CCCCC1,1.025,Cs
Caprolactone,C6H10O2,O=C1CCCCCO1,1.238,Cs
Propiolactone,C3H4O2,O=C1CCO1,1.011,Cs
Cyclopentanone,C5H8O,O=C1CCCC1,1.012,Cs
Diketene,C4H4O2,C=C1CC(=O)O1,0.928,Cs
Acetophenone,C8H8O,CC(=O)c1ccccc1,0.997,Cs
Guaiacol,C7H8O2,COc1ccccc1O,1.227,Cs
Benzaldehyde,C7H6O,O=Cc1ccccc1,0.958,Cs
2-methylcyclohexanone,C7H12O,CC1CCCCC1=O,1.043,Cs
Methyl methanesulfonate,C2H6O3S,COS(C)(=O)=O,0.928,Cs
Diethylsulfate,C4H10O4S,CCOS(=O)(=O)OCC,1.148,Cs
"2,3-butanedione",C4H6O2,CC(=O)C(C)=O,0.7,Cs
Benzyl benzoate,C14H12O2,O=C(OCc1ccccc1)c1ccccc1,1.441,Cs
Diphenyl ether,C12H10O,c1ccc(Oc2ccccc2)cc1,0.638,Cs
Pentanal,C5H10O,CCCCC=O,0.859,Cs
2-Methoxyethyl acetate,C5H10O3,COCCOC(C)=O,0.907,Cs
Acetone,C3H6O,CC(C)=O,0.987,Cs
Diethyl ether,C4H10O,CCOCC,0.825,Cs
Methyl methacrylate,C5H8O2,C=C(C)C(=O)OC,0.944,Cs
Chloroacetone,C3H5ClO,CC(=O)CCl,0.845,Cs
N-butyl acetate,C6H12O2,CCCCOC(C)=O,0.964,Cs
2-heptanone,C7H14O,CCCCCC(C)=O,0.947,Cs
4-heptanone,C7H14O,CCCC(=O)CCC,0.923,Cs
